Site,Month,Date,Chloro_ppb,TP_ppb,TN_ppb,NH4N_ppb,NO2NO3_ppb,ANC_mgCaCO3L,TSS_mgL,DOC_ppm,lagoslakeid,Type,lake_connectivity_class,ConnClass,Group,Month_factor,SecchiDepth_m,zMax_m,ProfileDepth_m,WaterTemp_C,SpecCond_uScm,LDO_mgL,LDO_pct,pH,Lake
Unnamed Lake,9,9/28/2022,0.5,24,1117,29,63,19.3,1.6,37.6,15139,Burned,DrainageLk,Drainage,Burned_Drainage,Sep,0.5,5.2,0,8.97,49,8.92,80.9,6.7,Unnamed 
Wadop Lake,5,5/18/2022,0.8,10,528,7,7,16.3,1.3,15.6,102493,Control,Drainage,Drainage,Control_Drainage,May,1.5,1.9,0,13.51,62,8.18,82,7.47,Wadop 
Wadop Lake,6,6/10/2022,1.3,12,406,16,18,27.9,1.2,9.2,102493,Control,Drainage,Drainage,Control_Drainage,Jun,2.7,2.7,0,18.68,84.6,8.62,96.8,6.99,Wadop 
Wadop Lake,7,7/15/2022,1.4,11,385,12,24,34.2,2.6,6.3,102493,Control,Drainage,Drainage,Control_Drainage,Jul,2.15,2.15,0,22.26,70.7,9.32,111.7,7.72,Wadop 
Wadop Lake,8,8/23/2022,2.2,9,421,10,18,42.6,2,8.3,102493,Control,Drainage,Drainage,Control_Drainage,Aug,2,2,0,23.17,92.7,7.88,95.7,7.97,Wadop 
Wadop Lake,9,9/22/2022,1.2,8,378,20,45,35.6,1,5.9,102493,Control,Drainage,Drainage,Control_Drainage,Sep,2.5,2.5,0,14.68,95.4,9.27,95.8,7.01,Wadop 
Wampus Lake,5,5/16/2022,1.1,15,460,7,1,43.9,2.3,5.7,73430,Burned,Isolated,Isolated,Burned_Isolated,May,0.9,1.5,0,14.92,98.7,10.66,110.2,9.25,Wampus 
Wampus Lake,6,6/9/2022,0.8,13,521,15,0,51.1,1,6.6,73430,Burned,Isolated,Isolated,Burned_Isolated,Jun,1.3,1.3,0,21.52,123.9,11.06,131.7,9.29,Wampus 
Wampus Lake,7,7/13/2022,1.7,12,681,19,0,55.2,3.2,7.4,73430,Burned,Isolated,Isolated,Burned_Isolated,Jul,0.8,0.8,0,21.95,112.9,8.69,103.3,8.35,Wampus 
Wampus Lake,8,8/22/2022,2.4,15,1844,1137,1,69.4,3.4,8.2,73430,Burned,Isolated,Isolated,Burned_Isolated,Aug,1.3,1.3,0,23.58,162.3,7.55,93.8,7.27,Wampus 
Wampus Lake,9,9/22/2022,1.5,12,NA,2180,16,78,2.8,7.6,73430,Burned,Isolated,Isolated,Burned_Isolated,Sep,1.2,1.2,0,13.16,176,8.7,87,7.77,Wampus 
West Chub Lake,5,5/16/2022,2.7,26,622,5,0,19,2.9,11.6,133329,Burned,DrainageLk,Drainage,Burned_Drainage,May,1.1,1.5,0,14.69,43.9,9.48,97.6,7.85,West Chub 
West Chub Lake,6,6/13/2022,3.8,19,718,22,0,25.1,1.8,14.5,133329,Burned,DrainageLk,Drainage,Burned_Drainage,Jun,1.3,1.3,0,18.9,57.2,8.44,95.3,8.1,West Chub 
West Chub Lake,7,7/15/2022,4.4,22,975,20,0,30.5,5.4,5.6,133329,Burned,DrainageLk,Drainage,Burned_Drainage,Jul,1.4,1.9,0,27.41,54.2,9.34,122.8,8.22,West Chub 
West Chub Lake,8,8/22/2022,3.9,17,871,14,0,37.4,3.1,19.2,133329,Burned,DrainageLk,Drainage,Burned_Drainage,Aug,1.2,2.5,0,22.53,81.5,8.61,111,7.18,West Chub 
West Chub Lake,9,9/22/2022,3.9,12,794,28,0,43.3,1.8,19.3,133329,Burned,DrainageLk,Drainage,Burned_Drainage,Sep,1.5,3.3,0,15.06,93.1,9.35,97.6,7.74,West Chub 
