lagoslakeid,lake_namegnis,lake_states,lake_depth_state,lake_lat_decdeg,lake_lon_decdeg,lake_maxdepth_m,lake_meandepth_m,lake_waterarea_ha,lake_depth_sourcename,lake_depth_sourceurl,lake_maxdepth_effort,lake_meandepth_effort
3286,NA,WI,WI,46.18900607,-89.82063065,8.8392,NA,8.002373823,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3287,NA,MA,MA,42.17912666,-70.75014397,1.8,NA,3.419139003,MA_DEP_CHEM,NULL,LAGOSNE,NULL
3288,NA,WI,WI,46.13619292,-89.58741473,12.4968,NA,137.3359043,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3289,NA,MN,MN,46.36643405,-93.90869517,21.88691521,NA,144.6068954,NULL,NULL,bathymetry,NULL
3290,NA,IN,IN,39.80542758,-85.48680436,4.9,NA,12.21633687,IN_CLP_DEPTHS,NULL,LAGOSNE,NULL
3291,NA,MN,MN,44.27646749,-93.76004159,11.27661324,NA,516.1068488,NULL,NULL,bathymetry,NULL
3292,NA,MN,MN,45.4177388,-94.51530843,10.65940857,NA,30.14194764,NULL,NULL,bathymetry,NULL
3294,NA,MA,MA,41.83350515,-69.98961412,11,NA,44.29240635,MA_DEP_CHEM,NULL,LAGOSNE,NULL
3295,NA,MN,MN,45.38745973,-94.52485752,10.35955524,NA,188.5064767,NULL,NULL,bathymetry,NULL
3296,NA,WI,WI,45.02048844,-88.46190402,12.192,NA,15.86811537,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3297,NA,MI,MI,46.38476834,-88.87783103,10.66747943,NA,49.61982428,NULL,NULL,bathymetry,NULL
3298,NA,MN,MN,47.91378552,-90.96191239,12.2,NA,43.14086646,MN_MPCA_CHEM,NULL,LAGOSNE,NULL
3299,NA,MN,MN,44.78449665,-93.12868856,5,2.3,5.794599057,MN_MPCA_CHEM_1999_2012,NULL,LAGOSNE,LAGOSNE
3300,NA,MN,MN,45.3515247,-94.52819657,23.10630417,NA,105.3254857,NULL,NULL,bathymetry,NULL
3301,NA,MN,MN,47.82590985,-93.35889137,21.33495903,NA,94.55839061,NULL,NULL,bathymetry,NULL
3302,NA,MN,MN,43.67647381,-94.68138639,6.255156994,NA,366.5853164,NULL,NULL,bathymetry,NULL
3303,NA,WI,WI,45.23613961,-91.41379026,19.812,NA,8.429748518,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
3304,NA,IN,IN,41.5396581,-85.19227532,17.4,10.7,13.28559406,IN_CLP_DEPTHS,NULL,LAGOSNE,LAGOSNE
