Lake County, Minnesota, Maximum Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
193701,8.8,-8.2
193702,19.2,-3.8
193703,30.6,-4.8
193704,43.2,-4.9
193705,63.8,1.6
193706,72.4,1.1
193707,77.0,0.7
193708,78.5,4.0
193709,63.7,-1.5
193710,46.4,-4.0
193711,29.7,-4.6
193712,16.2,-5.8
193801,10.8,-6.2
193802,23.4,0.4
193803,40.3,4.9
193804,46.7,-1.4
193805,58.8,-3.4
193806,71.0,-0.3
193807,74.8,-1.5
193808,77.7,3.2
193809,65.4,0.2
193810,56.4,6.0
193811,29.8,-4.5
193812,19.4,-2.6
193901,19.8,2.8
193902,13.4,-9.6
193903,30.2,-5.2
193904,44.2,-3.9
193905,64.0,1.8
193906,70.3,-1.0
193907,77.0,0.7
193908,73.8,-0.7
193909,64.3,-0.9
193910,46.6,-3.8
193911,38.6,4.3
193912,29.6,7.6
194001,12.6,-4.4
194002,23.6,0.6
194003,26.3,-9.1
194004,43.8,-4.3
194005,58.0,-4.2
194006,69.2,-2.1
194007,75.3,-1.0
194008,70.8,-3.7
194009,68.5,3.3
194010,53.1,2.7
194011,28.2,-6.1
194012,20.9,-1.1
194101,17.6,0.6
194102,20.7,-2.3
194103,31.5,-3.9
194104,52.6,4.5
194105,65.6,3.4
194106,71.4,0.1
194107,78.4,2.1
194108,72.1,-2.4
194109,63.4,-1.8
194110,51.5,1.1
194111,33.5,-0.8
194112,25.4,3.4
194201,20.6,3.6
194202,21.4,-1.6
194203,36.2,0.8
194204,55.2,7.1
194205,60.2,-2.0
194206,69.0,-2.3
194207,74.2,-2.1
194208,72.2,-2.3
194209,61.0,-4.2
194210,53.2,2.8
194211,32.8,-1.5
194212,14.7,-7.3
194301,9.2,-7.8
194302,23.3,0.3
194303,26.9,-8.5
194304,47.2,-0.9
194305,59.8,-2.4
194306,70.8,-0.5
194307,78.3,2.0
194308,72.7,-1.8
194309,60.9,-4.3
194310,53.4,3.0
194311,28.1,-6.2
194312,22.1,0.1
194401,25.8,8.8
194402,21.4,-1.6
194403,28.5,-6.9
194404,46.8,-1.3
194405,63.4,1.2
194406,71.4,0.1
194407,74.0,-2.3
194408,72.9,-1.6
194409,62.6,-2.6
194410,54.6,4.2
194411,35.0,0.7
194412,18.3,-3.7
194501,12.5,-4.5
194502,21.8,-1.2
194503,42.6,7.2
194504,44.1,-4.0
194505,56.6,-5.6
194506,66.1,-5.2
194507,72.4,-3.9
194508,72.3,-2.2
194509,61.6,-3.6
194510,50.6,0.2
194511,28.5,-5.8
194512,14.8,-7.2
194601,15.4,-1.6
194602,16.4,-6.6
194603,43.8,8.4
194604,50.4,2.3
194605,60.7,-1.5
194606,70.1,-1.2
194607,76.0,-0.3
194608,71.8,-2.7
194609,63.3,-1.9
194610,51.0,0.6
194611,33.8,-0.5
194612,18.4,-3.6
194701,19.8,2.8
194702,17.3,-5.7
194703,31.3,-4.1
194704,41.9,-6.2
194705,56.0,-6.2
194706,65.7,-5.6
194707,75.9,-0.4
194708,76.2,1.7
194709,62.3,-2.9
194710,59.8,9.4
194711,26.8,-7.5
194712,19.0,-3.0
194801,12.8,-4.2
194802,18.6,-4.4
194803,30.9,-4.5
194804,48.9,0.8
194805,62.4,0.2
194806,70.3,-1.0
194807,75.5,-0.8
194808,74.2,-0.3
194809,71.5,6.3
194810,54.2,3.8
194811,33.7,-0.6
194812,20.9,-1.1
194901,18.4,1.4
194902,18.1,-4.9
194903,29.4,-6.0
194904,51.7,3.6
194905,63.8,1.6
194906,73.2,1.9
194907,74.9,-1.4
194908,74.5,0.0
194909,61.2,-4.0
194910,52.0,1.6
194911,33.6,-0.7
194912,19.4,-2.6
195001,10.4,-6.6
195002,21.2,-1.8
195003,26.5,-8.9
195004,35.1,-13.0
195005,57.5,-4.7
195006,70.2,-1.1
195007,71.1,-5.2
195008,67.7,-6.8
195009,64.1,-1.1
195010,52.7,2.3
195011,27.7,-6.6
195012,15.0,-7.0
195101,13.4,-3.6
195102,20.8,-2.2
195103,27.2,-8.2
195104,44.1,-4.0
195105,66.2,4.0
195106,67.6,-3.7
195107,74.1,-2.2
195108,68.3,-6.2
195109,58.6,-6.6
195110,47.2,-3.2
195111,26.4,-7.9
195112,15.2,-6.8
195201,15.9,-1.1
195202,26.4,3.4
195203,30.5,-4.9
195204,55.3,7.2
195205,63.0,0.8
195206,73.0,1.7
195207,75.8,-0.5
195208,72.4,-2.1
195209,64.4,-0.8
195210,48.6,-1.8
195211,34.4,0.1
195212,23.8,1.8
195301,17.5,0.5
195302,21.4,-1.6
195303,33.5,-1.9
195304,43.5,-4.6
195305,61.0,-1.2
195306,72.1,0.8
195307,74.8,-1.5
195308,74.6,0.1
195309,62.4,-2.8
195310,57.8,7.4
195311,37.5,3.2
195312,20.8,-1.2
195401,11.1,-5.9
195402,32.2,9.2
195403,30.5,-4.9
195404,45.8,-2.3
195405,54.4,-7.8
195406,73.5,2.2
195407,75.7,-0.6
195408,72.0,-2.5
195409,59.7,-5.5
195410,47.5,-2.9
195411,35.5,1.2
195412,22.3,0.3
195501,15.0,-2.0
195502,19.0,-4.0
195503,28.1,-7.3
195504,54.1,6.0
195505,66.0,3.8
195506,73.2,1.9
195507,79.5,3.2
195508,78.0,3.5
195509,62.8,-2.4
195510,52.3,1.9
195511,27.2,-7.1
195512,15.3,-6.7
195601,20.0,3.0
195602,21.9,-1.1
195603,30.1,-5.3
195604,42.4,-5.7
195605,59.1,-3.1
195606,74.6,3.3
195607,71.1,-5.2
195608,70.7,-3.8
195609,60.0,-5.2
195610,58.6,8.2
195611,32.8,-1.5
195612,21.2,-0.8
195701,8.3,-8.7
195702,20.6,-2.4
195703,32.9,-2.5
195704,47.6,-0.5
195705,61.6,-0.6
195706,69.6,-1.7
195707,77.6,1.3
195708,73.3,-1.2
195709,60.9,-4.3
195710,50.8,0.4
195711,30.9,-3.4
195712,21.9,-0.1
195801,20.7,3.7
195802,18.2,-4.8
195803,35.6,0.2
195804,51.6,3.5
195805,62.9,0.7
195806,66.5,-4.8
195807,74.0,-2.3
195808,73.8,-0.7
195809,62.9,-2.3
195810,52.5,2.1
195811,34.1,-0.2
195812,11.3,-10.7
195901,7.8,-9.2
195902,18.9,-4.1
195903,34.9,-0.5
195904,47.1,-1.0
195905,62.2,0.0
195906,73.7,2.4
195907,77.7,1.4
195908,74.9,0.4
195909,62.6,-2.6
195910,44.0,-6.4
195911,23.8,-10.5
195912,27.5,5.5
196001,16.8,-0.2
196002,22.4,-0.6
196003,26.6,-8.8
196004,46.0,-2.1
196005,61.0,-1.2
196006,69.6,-1.7
196007,76.3,0.0
196008,75.0,0.5
196009,64.2,-1.0
196010,51.4,1.0
196011,34.0,-0.3
196012,17.0,-5.0
196101,13.8,-3.2
196102,27.8,4.8
196103,37.5,2.1
196104,43.7,-4.4
196105,61.7,-0.5
196106,74.9,3.6
196107,76.8,0.5
196108,78.6,4.1
196109,62.8,-2.4
196110,52.4,2.0
196111,33.5,-0.8
196112,18.7,-3.3
196201,10.2,-6.8
196202,15.3,-7.7
196203,33.4,-2.0
196204,44.5,-3.6
196205,61.4,-0.8
196206,70.2,-1.1
196207,71.9,-4.4
196208,73.0,-1.5
196209,61.5,-3.7
196210,53.5,3.1
196211,36.8,2.5
196212,20.4,-1.6
196301,6.0,-11.0
196302,15.8,-7.2
196303,36.7,1.3
196304,50.5,2.4
196305,59.6,-2.6
196306,72.6,1.3
196307,76.7,0.4
196308,71.9,-2.6
196309,66.0,0.8
196310,64.0,13.6
196311,39.2,4.9
196312,13.5,-8.5
196401,23.4,6.4
196402,26.0,3.0
196403,28.6,-6.8
196404,48.5,0.4
196405,65.2,3.0
196406,69.8,-1.5
196407,77.9,1.6
196408,67.8,-6.7
196409,60.9,-4.3
196410,51.3,0.9
196411,35.0,0.7
196412,14.9,-7.1
196501,13.0,-4.0
196502,15.5,-7.5
196503,26.2,-9.2
196504,45.4,-2.7
196505,62.8,0.6
196506,68.8,-2.5
196507,71.5,-4.8
196508,71.6,-2.9
196509,54.1,-11.1
196510,51.4,1.0
196511,32.3,-2.0
